Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_78_27,VGND,li1,15.4100,214.8800,0.000000
FILLER_78_15,VGND,li1,12.4200,214.8800,0.000000
FILLER_78_3,VGND,li1,6.9000,214.8800,0.000000
FILLER_77_709,VGND,li1,329.8200,214.8800,0.000000
FILLER_77_697,VGND,li1,326.1400,214.8800,0.000000
FILLER_77_685,VGND,li1,320.6200,214.8800,0.000000
FILLER_77_673,VGND,li1,315.1000,214.8800,0.000000
FILLER_77_671,VGND,li1,311.6500,214.8800,0.000000
FILLER_77_665,VGND,li1,310.0400,214.8800,0.000000
FILLER_77_653,VGND,li1,305.9000,214.8800,0.000000
FILLER_77_641,VGND,li1,300.3800,214.8800,0.000000
FILLER_77_629,VGND,li1,294.8600,214.8800,0.000000
FILLER_77_617,VGND,li1,289.3400,214.8800,0.000000
FILLER_77_608,VGND,li1,284.2800,214.8800,0.000000
FILLER_77_596,VGND,li1,279.6800,214.8800,0.000000
FILLER_77_584,VGND,li1,274.1600,214.8800,0.000000
FILLER_77_543,VGND,li1,254.3800,214.8800,0.000000
FILLER_77_531,VGND,li1,249.7800,214.8800,0.000000
FILLER_77_503,VGND,li1,234.3700,214.8800,0.000000
FILLER_77_482,VGND,li1,224.7100,214.8800,0.000000
FILLER_77_478,VGND,li1,223.5600,214.8800,0.000000
FILLER_77_428,VGND,li1,200.1000,214.8800,0.000001
FILLER_77_418,VGND,li1,195.2700,214.8800,0.000001
FILLER_77_381,VGND,li1,178.4800,214.8800,0.000001
FILLER_77_373,VGND,li1,176.1800,214.8800,0.000001
FILLER_77_363,VGND,li1,169.9700,214.8800,0.000001
FILLER_77_328,VGND,li1,155.4800,214.8800,0.000001
FILLER_77_318,VGND,li1,149.2700,214.8800,0.000001
FILLER_77_221,VGND,li1,105.1100,214.8800,0.000001
FILLER_77_209,VGND,li1,99.1300,214.8800,0.000001
FILLER_77_205,VGND,li1,97.9800,214.8800,0.000001
FILLER_77_153,VGND,li1,74.0600,214.8800,0.000001
FILLER_77_132,VGND,li1,63.7100,214.8800,0.000001
FILLER_77_126,VGND,li1,62.1000,214.8800,0.000001
FILLER_77_113,VGND,li1,55.6600,214.8800,0.000001
FILLER_77_111,VGND,li1,54.0500,214.8800,0.000001
FILLER_77_99,VGND,li1,51.0600,214.8800,0.000000
FILLER_77_89,VGND,li1,44.1600,214.8800,0.000000
FILLER_77_81,VGND,li1,41.8600,214.8800,0.000000
FILLER_77_69,VGND,li1,37.2600,214.8800,0.000000
FILLER_77_57,VGND,li1,31.7400,214.8800,0.000000
FILLER_77_55,VGND,li1,28.2900,214.8800,0.000000
FILLER_77_51,VGND,li1,27.1400,214.8800,0.000000
FILLER_77_39,VGND,li1,23.4600,214.8800,0.000000
FILLER_77_27,VGND,li1,17.9400,214.8800,0.000000
FILLER_77_15,VGND,li1,12.4200,214.8800,0.000000
FILLER_77_3,VGND,li1,6.9000,214.8800,0.000000
FILLER_76_701,VGND,li1,327.9800,209.4400,0.000000
FILLER_76_699,VGND,li1,324.5300,209.4400,0.000000
FILLER_76_693,VGND,li1,322.9200,209.4400,0.000000
FILLER_76_681,VGND,li1,318.7800,209.4400,0.000000
FILLER_76_669,VGND,li1,313.2600,209.4400,0.000000
FILLER_76_657,VGND,li1,307.7400,209.4400,0.000000
FILLER_76_645,VGND,li1,302.2200,209.4400,0.000000
FILLER_76_641,VGND,li1,298.3100,209.4400,0.000000
FILLER_76_629,VGND,li1,294.8600,209.4400,0.000000
FILLER_76_617,VGND,li1,289.3400,209.4400,0.000000
FILLER_76_605,VGND,li1,283.8200,209.4400,0.000000
FILLER_76_597,VGND,li1,277.8400,209.4400,0.000000
FILLER_76_589,VGND,li1,275.5400,209.4400,0.000000
FILLER_76_582,VGND,li1,271.8600,209.4400,0.000000
FILLER_76_569,VGND,li1,264.7300,209.4400,0.000000
FILLER_76_528,VGND,li1,246.5600,209.4400,0.000000
FILLER_76_519,VGND,li1,241.7300,209.4400,0.000000
FILLER_76_498,VGND,li1,232.0700,209.4400,0.000000
FILLER_76_488,VGND,li1,227.4700,209.4400,0.000000
FILLER_76_475,VGND,li1,221.4900,209.4400,0.000001
FILLER_76_469,VGND,li1,219.8800,209.4400,0.000001
FILLER_76_447,VGND,li1,208.8400,209.4400,0.000001
FILLER_76_414,VGND,li1,194.5800,209.4400,0.000001
FILLER_76_377,VGND,li1,177.5600,209.4400,0.000001
FILLER_76_327,VGND,li1,155.0200,209.4400,0.000001
FILLER_76_315,VGND,li1,150.4200,209.4400,0.000001
FILLER_76_307,VGND,li1,144.2100,209.4400,0.000001
