Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_78_53,VPWR,li1,29.9000,217.6000,1.800000
FILLER_78_41,VPWR,li1,24.3800,217.6000,1.800000
FILLER_78_29,VPWR,li1,18.8600,217.6000,1.800000
FILLER_78_27,VPWR,li1,15.4100,217.6000,1.800000
FILLER_78_15,VPWR,li1,12.4200,217.6000,1.800000
FILLER_78_3,VPWR,li1,6.9000,217.6000,1.800000
FILLER_77_709,VPWR,li1,329.8200,212.1600,1.800000
FILLER_77_697,VPWR,li1,326.1400,212.1600,1.800000
FILLER_77_685,VPWR,li1,320.6200,212.1600,1.800000
FILLER_77_673,VPWR,li1,315.1000,212.1600,1.800000
FILLER_77_671,VPWR,li1,311.6500,212.1600,1.800000
FILLER_77_665,VPWR,li1,310.0400,212.1600,1.800000
FILLER_77_653,VPWR,li1,305.9000,212.1600,1.800000
FILLER_77_641,VPWR,li1,300.3800,212.1600,1.800000
FILLER_77_629,VPWR,li1,294.8600,212.1600,1.800000
FILLER_77_617,VPWR,li1,289.3400,212.1600,1.800000
FILLER_77_608,VPWR,li1,284.2800,212.1600,1.800000
FILLER_77_596,VPWR,li1,279.6800,212.1600,1.800000
FILLER_77_584,VPWR,li1,274.1600,212.1600,1.800000
FILLER_77_573,VPWR,li1,267.0300,212.1600,1.800000
FILLER_77_565,VPWR,li1,264.5000,212.1600,1.800000
FILLER_77_557,VPWR,li1,259.6700,212.1600,1.800000
FILLER_77_536,VPWR,li1,249.5500,212.1600,1.800000
FILLER_77_514,VPWR,li1,240.1200,212.1600,1.800000
FILLER_77_481,VPWR,li1,224.2500,212.1600,1.800000
FILLER_77_449,VPWR,li1,209.9900,212.1600,1.799999
FILLER_77_445,VPWR,li1,208.1500,212.1600,1.799999
FILLER_77_435,VPWR,li1,203.0900,212.1600,1.799999
FILLER_77_393,VPWR,li1,183.7700,212.1600,1.799999
FILLER_77_372,VPWR,li1,174.1100,212.1600,1.799999
FILLER_77_337,VPWR,li1,159.1600,212.1600,1.799999
FILLER_77_335,VPWR,li1,157.0900,212.1600,1.799999
FILLER_77_331,VPWR,li1,155.9400,212.1600,1.799999
FILLER_77_318,VPWR,li1,149.9600,212.1600,1.799999
FILLER_77_308,VPWR,li1,144.6700,212.1600,1.799999
FILLER_77_284,VPWR,li1,133.8600,212.1600,1.799999
FILLER_77_265,VPWR,li1,126.0400,212.1600,1.799999
FILLER_77_223,VPWR,li1,105.5700,212.1600,1.799999
FILLER_77_193,VPWR,li1,91.7700,212.1600,1.799999
FILLER_77_189,VPWR,li1,90.6200,212.1600,1.799999
FILLER_77_113,VPWR,li1,57.5000,212.1600,1.800000
FILLER_77_111,VPWR,li1,54.0500,212.1600,1.800000
FILLER_77_105,VPWR,li1,52.4400,212.1600,1.800000
FILLER_77_93,VPWR,li1,48.3000,212.1600,1.800000
FILLER_77_81,VPWR,li1,42.7800,212.1600,1.800000
FILLER_77_69,VPWR,li1,37.2600,212.1600,1.800000
FILLER_77_57,VPWR,li1,31.7400,212.1600,1.800000
FILLER_77_55,VPWR,li1,28.2900,212.1600,1.800000
FILLER_77_51,VPWR,li1,27.1400,212.1600,1.800000
FILLER_77_39,VPWR,li1,23.4600,212.1600,1.800000
FILLER_77_27,VPWR,li1,17.9400,212.1600,1.800000
FILLER_77_15,VPWR,li1,12.4200,212.1600,1.800000
FILLER_77_3,VPWR,li1,6.9000,212.1600,1.800000
FILLER_76_701,VPWR,li1,327.9800,212.1600,1.800000
FILLER_76_699,VPWR,li1,324.5300,212.1600,1.800000
FILLER_76_693,VPWR,li1,322.9200,212.1600,1.800000
FILLER_76_681,VPWR,li1,318.7800,212.1600,1.800000
FILLER_76_669,VPWR,li1,313.2600,212.1600,1.800000
FILLER_76_657,VPWR,li1,307.7400,212.1600,1.800000
FILLER_76_645,VPWR,li1,302.2200,212.1600,1.800000
FILLER_76_641,VPWR,li1,298.3100,212.1600,1.800000
FILLER_76_629,VPWR,li1,294.8600,212.1600,1.800000
FILLER_76_617,VPWR,li1,289.3400,212.1600,1.800000
FILLER_76_605,VPWR,li1,283.8200,212.1600,1.800000
FILLER_76_593,VPWR,li1,278.3000,212.1600,1.800000
FILLER_76_585,VPWR,li1,272.5500,212.1600,1.800000
FILLER_76_541,VPWR,li1,252.3100,212.1600,1.800000
FILLER_76_533,VPWR,li1,249.7800,212.1600,1.800000
FILLER_76_475,VPWR,li1,221.4900,212.1600,1.800000
FILLER_76_448,VPWR,li1,209.0700,212.1600,1.799999
FILLER_76_429,VPWR,li1,200.5600,212.1600,1.799999
FILLER_76_418,VPWR,li1,195.5000,212.1600,1.799999
FILLER_76_392,VPWR,li1,184.0000,212.1600,1.799999
FILLER_76_374,VPWR,li1,175.0300,212.1600,1.799999
FILLER_76_359,VPWR,li1,168.1300,212.1600,1.799999
FILLER_76_330,VPWR,li1,157.3200,212.1600,1.799999
FILLER_76_321,VPWR,li1,150.6500,212.1600,1.799999
FILLER_76_317,VPWR,li1,149.5000,212.1600,1.799999
FILLER_76_306,VPWR,li1,143.9800,212.1600,1.799999
FILLER_76_282,VPWR,li1,133.4000,212.1600,1.799999
FILLER_76_242,VPWR,li1,114.3100,212.1600,1.799999
FILLER_76_238,VPWR,li1,113.1600,212.1600,1.799999
FILLER_76_232,VPWR,li1,110.4000,212.1600,1.799999
FILLER_76_208,VPWR,li1,99.3600,212.1600,1.799999
FILLER_76_194,VPWR,li1,92.4600,212.1600,1.799999
FILLER_76_174,VPWR,li1,83.2600,212.1600,1.799999
FILLER_76_153,VPWR,li1,73.3700,212.1600,1.799999
FILLER_76_141,VPWR,li1,70.3800,212.1600,1.799999
FILLER_76_134,VPWR,li1,65.7800,212.1600,1.799999
FILLER_76_122,VPWR,li1,61.6400,212.1600,1.799999
FILLER_76_83,VPWR,li1,41.1700,212.1600,1.800000
FILLER_76_77,VPWR,li1,39.5600,212.1600,1.800000
FILLER_76_65,VPWR,li1,35.4200,212.1600,1.800000
FILLER_76_53,VPWR,li1,29.9000,212.1600,1.800000
FILLER_76_41,VPWR,li1,24.3800,212.1600,1.800000
FILLER_76_29,VPWR,li1,18.8600,212.1600,1.800000
FILLER_76_27,VPWR,li1,15.4100,212.1600,1.800000
FILLER_76_15,VPWR,li1,12.4200,212.1600,1.800000
FILLER_76_3,VPWR,li1,6.9000,212.1600,1.800000
FILLER_75_709,VPWR,li1,329.8200,206.7200,1.800000
FILLER_75_697,VPWR,li1,326.1400,206.7200,1.800000
FILLER_75_685,VPWR,li1,320.6200,206.7200,1.800000
FILLER_75_673,VPWR,li1,315.1000,206.7200,1.800000
FILLER_75_671,VPWR,li1,311.6500,206.7200,1.800000
FILLER_75_659,VPWR,li1,308.6600,206.7200,1.800000
FILLER_75_647,VPWR,li1,303.1400,206.7200,1.800000
FILLER_75_635,VPWR,li1,297.6200,206.7200,1.800000
FILLER_75_623,VPWR,li1,292.1000,206.7200,1.800000
FILLER_75_587,VPWR,li1,273.0100,206.7200,1.800000
FILLER_75_532,VPWR,li1,249.3200,206.7200,1.800000
FILLER_75_481,VPWR,li1,224.7100,206.7200,1.799999
FILLER_75_460,VPWR,li1,214.5900,206.7200,1.799999
FILLER_75_449,VPWR,li1,209.7600,206.7200,1.799999
FILLER_75_444,VPWR,li1,207.9200,206.7200,1.799999
FILLER_75_423,VPWR,li1,197.5700,206.7200,1.799999
FILLER_75_393,VPWR,li1,183.7700,206.7200,1.799999
FILLER_75_380,VPWR,li1,178.4800,206.7200,1.799999
FILLER_75_365,VPWR,li1,170.8900,206.7200,1.799998
FILLER_75_361,VPWR,li1,169.7400,206.7200,1.799998
FILLER_75_337,VPWR,li1,158.7000,206.7200,1.799998
FILLER_75_335,VPWR,li1,157.0900,206.7200,1.799998
FILLER_75_327,VPWR,li1,155.0200,206.7200,1.799998
FILLER_75_320,VPWR,li1,150.1900,206.7200,1.799998
FILLER_75_314,VPWR,li1,148.5800,206.7200,1.799998
FILLER_75_301,VPWR,li1,142.1400,206.7200,1.799998
FILLER_75_279,VPWR,li1,131.3300,206.7200,1.799998
FILLER_75_198,VPWR,li1,94.0700,206.7200,1.799999
FILLER_75_169,VPWR,li1,81.1900,206.7200,1.799999
FILLER_75_151,VPWR,li1,74.0600,206.7200,1.799999
FILLER_75_119,VPWR,li1,57.7300,206.7200,1.799999
FILLER_75_113,VPWR,li1,56.1200,206.7200,1.799999
FILLER_75_100,VPWR,li1,49.4500,206.7200,1.799999
FILLER_75_77,VPWR,li1,38.8700,206.7200,1.799999
FILLER_75_69,VPWR,li1,36.3400,206.7200,1.799999
FILLER_75_57,VPWR,li1,31.7400,206.7200,1.800000
FILLER_75_55,VPWR,li1,28.2900,206.7200,1.800000
FILLER_75_51,VPWR,li1,27.1400,206.7200,1.800000
FILLER_75_39,VPWR,li1,23.4600,206.7200,1.800000
FILLER_75_27,VPWR,li1,17.9400,206.7200,1.800000
FILLER_75_15,VPWR,li1,12.4200,206.7200,1.800000
FILLER_75_3,VPWR,li1,6.9000,206.7200,1.800000
FILLER_74_701,VPWR,li1,327.9800,206.7200,1.800000
FILLER_74_699,VPWR,li1,324.5300,206.7200,1.800000
FILLER_74_693,VPWR,li1,322.9200,206.7200,1.800000
FILLER_74_681,VPWR,li1,318.7800,206.7200,1.800000
FILLER_74_669,VPWR,li1,313.2600,206.7200,1.800000
FILLER_74_657,VPWR,li1,307.7400,206.7200,1.800000
FILLER_74_645,VPWR,li1,302.2200,206.7200,1.800000
FILLER_74_636,VPWR,li1,297.1600,206.7200,1.800000
FILLER_74_624,VPWR,li1,292.5600,206.7200,1.800000
FILLER_74_585,VPWR,li1,272.5500,206.7200,1.800000
FILLER_74_549,VPWR,li1,255.5300,206.7200,1.800000
FILLER_74_543,VPWR,li1,253.9200,206.7200,1.800000
FILLER_74_533,VPWR,li1,248.1700,206.7200,1.800000
FILLER_74_531,VPWR,li1,247.2500,206.7200,1.800000
FILLER_74_523,VPWR,li1,245.1800,206.7200,1.800000
FILLER_74_455,VPWR,li1,212.2900,206.7200,1.799999
FILLER_74_451,VPWR,li1,211.1400,206.7200,1.799999
FILLER_74_430,VPWR,li1,200.7900,206.7200,1.799999
FILLER_74_363,VPWR,li1,169.9700,206.7200,1.799998
FILLER_74_317,VPWR,li1,148.8100,206.7200,1.799998
FILLER_74_309,VPWR,li1,146.7400,206.7200,1.799998
FILLER_74_265,VPWR,li1,125.3500,206.7200,1.799998
FILLER_74_253,VPWR,li1,119.8300,206.7200,1.799998
FILLER_74_240,VPWR,li1,114.0800,206.7200,1.799999
FILLER_74_197,VPWR,li1,94.7600,206.7200,1.799999
FILLER_74_186,VPWR,li1,88.7800,206.7200,1.799999
FILLER_74_156,VPWR,li1,74.7500,206.7200,1.799999
FILLER_74_150,VPWR,li1,73.1400,206.7200,1.799999
FILLER_74_119,VPWR,li1,57.7300,206.7200,1.799999
FILLER_74_85,VPWR,li1,42.5500,206.7200,1.799999
FILLER_74_83,VPWR,li1,41.1700,206.7200,1.799999
FILLER_74_77,VPWR,li1,39.5600,206.7200,1.799999
FILLER_74_65,VPWR,li1,35.4200,206.7200,1.799999
FILLER_74_53,VPWR,li1,29.9000,206.7200,1.800000
FILLER_74_41,VPWR,li1,24.3800,206.7200,1.800000
FILLER_74_29,VPWR,li1,18.8600,206.7200,1.800000
FILLER_74_27,VPWR,li1,15.4100,206.7200,1.800000
FILLER_74_15,VPWR,li1,12.4200,206.7200,1.800000
FILLER_74_3,VPWR,li1,6.9000,206.7200,1.800000
FILLER_73_709,VPWR,li1,329.8200,201.2800,1.800000
FILLER_73_697,VPWR,li1,326.1400,201.2800,1.800000
FILLER_73_685,VPWR,li1,320.6200,201.2800,1.800000
FILLER_73_673,VPWR,li1,315.1000,201.2800,1.800000
FILLER_73_671,VPWR,li1,311.6500,201.2800,1.800000
FILLER_73_665,VPWR,li1,310.0400,201.2800,1.800000
FILLER_73_653,VPWR,li1,305.9000,201.2800,1.800000
FILLER_73_641,VPWR,li1,300.3800,201.2800,1.800000
FILLER_73_629,VPWR,li1,294.8600,201.2800,1.800000
FILLER_73_617,VPWR,li1,289.3400,201.2800,1.800000
FILLER_73_614,VPWR,li1,285.6600,201.2800,1.800000
FILLER_73_561,VPWR,li1,261.5100,201.2800,1.800000
FILLER_73_514,VPWR,li1,240.5800,201.2800,1.800000
FILLER_73_498,VPWR,li1,233.2200,201.2800,1.800000
FILLER_73_441,VPWR,li1,206.3100,201.2800,1.799999
FILLER_73_429,VPWR,li1,200.7900,201.2800,1.799999
FILLER_73_399,VPWR,li1,186.5300,201.2800,1.799999
FILLER_73_393,VPWR,li1,184.9200,201.2800,1.799999
FILLER_73_370,VPWR,li1,173.4200,201.2800,1.799999
FILLER_73_298,VPWR,li1,140.0700,201.2800,1.799999
FILLER_73_234,VPWR,li1,110.6300,201.2800,1.799999
FILLER_73_221,VPWR,li1,105.1100,201.2800,1.799999
FILLER_73_197,VPWR,li1,94.3000,201.2800,1.799999
FILLER_73_169,VPWR,li1,82.3400,201.2800,1.799999
FILLER_73_122,VPWR,li1,60.2600,201.2800,1.799999
FILLER_73_81,VPWR,li1,41.8600,201.2800,1.800000
FILLER_73_69,VPWR,li1,37.2600,201.2800,1.800000
FILLER_73_57,VPWR,li1,31.7400,201.2800,1.800000
FILLER_73_55,VPWR,li1,28.2900,201.2800,1.800000
FILLER_73_51,VPWR,li1,27.1400,201.2800,1.800000
FILLER_73_39,VPWR,li1,23.4600,201.2800,1.800000
FILLER_73_27,VPWR,li1,17.9400,201.2800,1.800000
FILLER_73_15,VPWR,li1,12.4200,201.2800,1.800000
FILLER_73_3,VPWR,li1,6.9000,201.2800,1.800000
FILLER_72_701,VPWR,li1,327.9800,201.2800,1.800000
FILLER_72_699,VPWR,li1,324.5300,201.2800,1.800000
FILLER_72_693,VPWR,li1,322.9200,201.2800,1.800000
FILLER_72_681,VPWR,li1,318.7800,201.2800,1.800000
FILLER_72_669,VPWR,li1,313.2600,201.2800,1.800000
FILLER_72_657,VPWR,li1,307.7400,201.2800,1.800000
FILLER_72_645,VPWR,li1,302.2200,201.2800,1.800000
FILLER_72_642,VPWR,li1,298.5400,201.2800,1.800000
FILLER_72_634,VPWR,li1,296.2400,201.2800,1.800000
FILLER_72_614,VPWR,li1,285.6600,201.2800,1.800000
FILLER_72_607,VPWR,li1,282.2100,201.2800,1.800000
FILLER_72_595,VPWR,li1,276.6900,201.2800,1.800000
FILLER_72_589,VPWR,li1,275.0800,201.2800,1.800000
FILLER_72_587,VPWR,li1,273.0100,201.2800,1.800000
FILLER_72_581,VPWR,li1,271.4000,201.2800,1.800000
FILLER_72_553,VPWR,li1,258.0600,201.2800,1.800000
FILLER_72_514,VPWR,li1,239.4300,201.2800,1.800000
FILLER_72_505,VPWR,li1,235.2900,201.2800,1.800000
FILLER_72_483,VPWR,li1,225.1700,201.2800,1.799999
FILLER_72_477,VPWR,li1,223.5600,201.2800,1.799999
FILLER_72_464,VPWR,li1,216.4300,201.2800,1.799999
FILLER_72_458,VPWR,li1,214.8200,201.2800,1.799999
FILLER_72_398,VPWR,li1,186.3000,201.2800,1.799999
FILLER_72_377,VPWR,li1,176.4100,201.2800,1.799999
FILLER_72_365,VPWR,li1,173.4200,201.2800,1.799999
FILLER_72_362,VPWR,li1,169.7400,201.2800,1.799999
FILLER_72_354,VPWR,li1,167.4400,201.2800,1.799999
FILLER_72_350,VPWR,li1,164.2200,201.2800,1.799999
FILLER_72_338,VPWR,li1,161.0000,201.2800,1.799999
FILLER_72_265,VPWR,li1,125.3500,201.2800,1.799999
FILLER_72_253,VPWR,li1,119.8300,201.2800,1.799999
FILLER_72_230,VPWR,li1,109.4800,201.2800,1.799999
FILLER_72_197,VPWR,li1,94.3000,201.2800,1.799999
FILLER_72_190,VPWR,li1,91.5400,201.2800,1.799999
FILLER_72_147,VPWR,li1,70.6100,201.2800,1.799999
FILLER_72_141,VPWR,li1,69.0000,201.2800,1.799999
FILLER_72_130,VPWR,li1,62.7900,201.2800,1.799999
FILLER_72_124,VPWR,li1,61.1800,201.2800,1.799999
FILLER_72_85,VPWR,li1,42.5500,201.2800,1.800000
FILLER_72_83,VPWR,li1,41.1700,201.2800,1.800000
FILLER_72_77,VPWR,li1,39.5600,201.2800,1.800000
FILLER_72_65,VPWR,li1,35.4200,201.2800,1.800000
FILLER_72_53,VPWR,li1,29.9000,201.2800,1.800000
FILLER_72_41,VPWR,li1,24.3800,201.2800,1.800000
FILLER_72_29,VPWR,li1,18.8600,201.2800,1.800000
FILLER_72_27,VPWR,li1,15.4100,201.2800,1.800000
FILLER_72_15,VPWR,li1,12.4200,201.2800,1.800000
FILLER_72_3,VPWR,li1,6.9000,201.2800,1.800000
FILLER_71_709,VPWR,li1,329.8200,195.8400,1.800000
FILLER_71_697,VPWR,li1,326.1400,195.8400,1.800000
FILLER_71_685,VPWR,li1,320.6200,195.8400,1.800000
FILLER_71_673,VPWR,li1,315.1000,195.8400,1.800000
FILLER_71_660,VPWR,li1,309.1200,195.8400,1.800000
FILLER_71_648,VPWR,li1,303.6000,195.8400,1.800000
FILLER_71_607,VPWR,li1,282.2100,195.8400,1.800000
FILLER_71_558,VPWR,li1,259.9000,195.8400,1.800000
FILLER_71_514,VPWR,li1,240.5800,195.8400,1.800000
FILLER_71_502,VPWR,li1,234.1400,195.8400,1.800000
