net,length_um
scan_chain.scan_cells\[17\].scan_cell.primary_ff,12.24µm
net112,12.24µm
scan_chain.scan_cells\[36\].scan_cell.primary_ff,12.2µm
_234_,12.18µm
net160,12.18µm
net65,12.01µm
_070_,11.93µm
scan_chain.scan_cells\[5\].scan_cell.primary_ff,11.88µm
scan_chain.scan_cells\[31\].scan_cell.primary_ff,11.78µm
scan_chain.scan_cells\[53\].scan_cell.primary_ff,11.78µm
net183,11.72µm
net156,11.7µm
_102_,11.66µm
_186_,11.66µm
_038_,11.64µm
net150,11.52µm
net175,11.48µm
net187,11.48µm
scan_chain.scan_cells\[15\].scan_cell.data_out,11.42µm
scan_chain.scan_cells\[35\].scan_cell.primary_ff,11.42µm
_000_,11.38µm
scan_chain.scan_cells\[61\].scan_cell.primary_ff,11.38µm
net158,11.38µm
_246_,11.28µm
scan_chain.scan_cells\[45\].scan_cell.primary_ff,11.28µm
_156_,11.24µm
_173_,11.24µm
scan_chain.scan_cells\[42\].scan_cell.primary_ff,11.2µm
scan_chain.scan_cells\[57\].scan_cell.primary_ff,11.12µm
scan_chain.scan_cells\[24\].scan_cell.primary_ff,11.08µm
net121,11.08µm
scan_chain.scan_cells\[56\].scan_cell.primary_ff,11.04µm
scan_chain.scan_cells\[65\].scan_cell.primary_ff,11µm
scan_chain.scan_cells\[31\].scan_cell.data_out,10.82µm
scan_chain.scan_cells\[34\].scan_cell.primary_ff,10.82µm
net108,10.82µm
scan_chain.scan_cells\[63\].scan_cell.primary_ff,10.8µm
_205_,10.78µm
_167_,10.66µm
_213_,10.66µm
net67,10.63µm
_108_,10.62µm
_176_,10.6µm
_177_,10.58µm
net114,10.5µm
_158_,10.46µm
scan_chain.scan_cells\[26\].scan_cell.primary_ff,10.4µm
_247_,10.22µm
_180_,10.2µm
_218_,10.18µm
_166_,10.14µm
_125_,10.12µm
_188_,10.12µm
net161,10.12µm
net167,10.12µm
net188,10.08µm
scan_chain.scan_cells\[70\].scan_cell.primary_ff,10.04µm
_118_,9.9µm
_001_,9.82µm
_171_,9.78µm
_155_,9.76µm
_243_,9.76µm
_184_,9.72µm
_210_,9.64µm
net173,9.64µm
net74,9.63µm
_189_,9.54µm
scan_chain.scan_cells\[59\].scan_cell.primary_ff,9.46µm
net79,9.42µm
net103,9.32µm
scan_chain.scan_cells\[60\].scan_cell.primary_ff,9.29µm
_232_,9.18µm
scan_chain.scan_cells\[46\].scan_cell.primary_ff,9.12µm
_103_,9.06µm
scan_chain.scan_cells\[51\].scan_cell.primary_ff,9µm
_159_,8.98µm
net83,8.98µm
_003_,8.88µm
_165_,8.86µm
_083_,8.84µm
net96,8.76µm
net100,8.76µm
net126,8.76µm
net140,8.68µm
scan_chain.scan_cells\[19\].scan_cell.primary_ff,8.66µm
_068_,8.64µm
_095_,8.62µm
net80,8.62µm
_086_,8.48µm
_138_,8.48µm
_174_,8.3µm
_193_,8.3µm
net117,8.3µm
_056_,8.26µm
_141_,8.24µm
_090_,8.21µm
net94,8.2µm
_133_,8.18µm
_142_,8.16µm
_152_,8.1µm
scan_chain.scan_cells\[39\].scan_cell.primary_ff,8.1µm
_017_,8.08µm
_201_,8.06µm
net105,8.02µm
net145,8.02µm
_153_,7.94µm
_164_,7.84µm
_175_,7.84µm
net111,7.82µm
net86,7.78µm
_002_,7.745µm
_069_,7.7µm
_211_,7.7µm
_030_,7.66µm
scan_chain.scan_cells\[44\].scan_cell.primary_ff,7.64µm
scan_chain.scan_cells\[52\].scan_cell.primary_ff,7.64µm
ui_in[2],7.63µm
net127,7.56µm
net144,7.52µm
_006_,7.4µm
_074_,7.4µm
_223_,7.38µm
net163,7.36µm
scan_chain.scan_cells\[71\].scan_cell.primary_ff,7.32µm
net185,7.32µm
net1,7.24µm
_031_,7.18µm
_049_,7.18µm
rst_n,7.17µm
_062_,7.1µm
_202_,7.06µm
net91,7.06µm
net174,7µm
_071_,6.94µm
_148_,6.92µm
_236_,6.78µm
scan_chain.scan_cells\[66\].scan_cell.primary_ff,6.76µm
_029_,6.72µm
_117_,6.72µm
_121_,6.72µm
_191_,6.72µm
scan_chain.scan_cells\[69\].scan_cell.primary_ff,6.72µm
net76,6.67µm
net125,6.64µm
_248_,6.6µm
net98,6.6µm
_178_,6.54µm
net69,6.49µm
_052_,6.48µm
_130_,6.48µm
_183_,6.48µm
_126_,6.42µm
net99,6.38µm
net82,6.32µm
net68,6.3µm
_135_,6.28µm
_061_,6.26µm
net189,6.26µm
net119,6.18µm
net116,6.14µm
net159,6.14µm
_072_,6.105µm
scan_chain.scan_cells\[38\].scan_cell.primary_ff,6.06µm
_204_,6.04µm
_224_,6.04µm
_008_,6.02µm
net132,5.98µm
net170,5.98µm
_016_,5.96µm
_020_,5.96µm
_039_,5.94µm
_021_,5.84µm
_214_,5.84µm
_084_,5.8µm
_106_,5.8µm
